stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
Star Health & Allied Insurance Company Ltd.,10.70,-18.65,-21.75,5.59,2.81,10.41,-18.65,-21.75,5.48,2.78,10.63,-17.33,-18.97,5.46,2.81,93.42,80.18,63.80,33.56,19.28,93.42,80.18,63.80,33.56,19.28,0.00,0.00,0.00,0.00,0.00,207.95,184.22,92.14,97.80,79.93,14.21,-22.67,-25.03,8.95,4.56,14.21,-23.43,-25.86,8.95,4.56,14.21,-24.27,-26.38,8.43,4.00,10.63,-18.08,-19.81,5.46,2.81,6.83,-12.30,-27.16,9.14,5.70,6.83,-12.71,-28.06,9.14,5.70,6.83,-13.17,-28.62,8.61,5.00,5.11,-9.81,-21.49,5.58,3.52,11.38,-22.55,-31.05,16.27,14.60,13.94,-25.19,-37.87,23.14,14.06,4.06,-7.70,-10.33,4.37,2.63,0.09,0.16,0.07,0.15,0.28,0.84,0.88,0.61,0.87,0.00,1.56,0.15,0.47,1.39,1.36,1.56,0.15,0.47,1.39,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,344.10","41,055.94",0.00,0.00,0.00,2.51,3.87,0.00,0.00,0.00,36.72,-31.46,0.00,0.00,0.00,2.49,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.55,8.86,0.00,0.00,0.00,2.49,3.86,0.00,0.00,0.00,0.02,-0.03,0.00,0.00,0.00
Sonata Software Ltd.,15.89,22.63,17.23,20.33,16.59,15.89,22.63,17.23,20.33,16.58,17.22,24.33,19.05,22.32,17.19,39.91,55.03,50.96,35.93,51.31,39.91,55.03,50.96,35.93,51.31,15.75,21.00,14.00,20.25,12.75,66.39,72.97,75.21,84.39,79.82,20.88,29.51,26.84,28.90,23.59,19.55,27.82,25.03,26.92,23.00,19.05,26.97,24.09,25.87,23.04,15.89,22.64,17.23,20.33,16.60,31.45,40.43,35.69,34.24,29.55,29.44,38.12,33.27,31.89,28.81,28.68,36.96,32.03,30.64,28.86,23.93,31.02,22.91,24.09,20.79,39.80,41.13,33.80,56.59,32.34,46.35,46.27,43.79,62.54,43.37,27.46,29.27,22.87,32.38,26.24,0.00,0.00,0.00,0.00,0.00,1.15,0.96,99.85,134.41,126.24,2.65,3.27,2.98,2.06,5.02,2.65,3.27,2.98,2.06,5.02,0.00,0.00,0.00,0.00,0.00,0.00,79.52,23.21,138.93,69.24,0.00,74.00,20.99,126.58,66.86,0.00,20.48,76.79,-38.93,30.76,0.00,26.00,79.01,-26.58,33.14,"11,421.89","7,387.40","5,011.28","1,556.61","3,427.80",12.40,9.74,6.41,1.78,4.13,39.43,24.10,17.97,5.18,13.99,12.61,10.14,6.77,1.95,4.24,0.00,20.47,76.78,-38.93,30.75,20.98,13.45,9.99,4.59,6.59,12.61,10.14,6.77,1.95,4.24,0.02,0.03,0.03,0.12,0.05
Solar Industries India Ltd.,49.22,28.90,20.89,23.58,21.16,49.22,28.90,20.89,23.58,21.16,55.51,34.36,25.09,27.33,24.35,195.30,150.89,127.82,112.86,97.80,195.30,150.89,127.82,112.86,97.80,8.00,7.50,6.00,6.00,7.00,459.92,279.37,175.07,167.02,183.78,75.65,45.45,32.90,32.99,36.95,69.35,39.99,28.70,29.24,33.75,66.31,39.01,27.98,27.89,31.77,49.21,28.90,20.89,23.58,21.16,16.44,16.26,18.79,19.75,20.10,15.07,14.31,16.39,17.50,18.36,14.41,13.96,15.98,16.70,17.28,10.70,10.34,11.93,14.11,11.51,25.19,19.15,16.34,20.89,21.63,30.49,23.04,19.91,22.86,30.15,16.08,13.01,11.81,15.41,14.81,0.24,0.11,0.08,0.10,0.09,1.74,1.40,98.99,109.17,128.71,1.80,1.72,2.01,2.19,1.74,1.15,1.09,1.53,1.75,1.41,7.62,7.91,11.10,15.07,17.78,15.23,20.75,28.71,29.68,28.35,13.50,17.45,23.91,25.60,24.63,84.77,79.25,71.29,70.32,71.65,86.50,82.55,76.09,74.40,75.37,"33,987.06","25,502.44","11,613.83","8,270.45","9,795.32",8.17,10.09,7.33,5.47,5.89,49.64,62.00,39.01,27.70,29.29,8.08,10.04,7.30,5.45,5.86,84.76,79.24,71.28,70.31,71.64,19.03,18.58,10.00,8.06,11.01,8.08,10.04,7.30,5.45,5.86,0.01,0.01,0.02,0.03,0.02
SRF Ltd.,68.26,50.86,158.72,169.48,90.01,68.26,50.86,158.72,169.48,90.01,83.77,64.76,217.17,226.90,143.98,311.11,256.35,"1,044.68",800.73,669.85,311.11,256.35,"1,044.68",800.73,669.85,7.20,16.75,24.00,14.00,12.00,405.93,334.64,"1,159.69","1,082.19","1,060.78",110.95,89.72,299.50,224.92,199.65,95.20,75.63,235.84,164.55,144.07,89.29,72.45,217.39,133.42,114.37,68.03,50.67,153.51,166.53,88.41,27.33,26.81,25.82,20.78,18.82,23.45,22.60,20.33,15.20,13.58,21.99,21.65,18.74,12.32,10.78,16.75,15.14,13.23,15.38,8.33,21.86,19.76,14.69,20.79,13.19,23.46,23.14,17.44,15.89,14.17,13.01,11.64,8.63,11.04,5.96,0.33,0.36,0.35,0.41,0.70,0.85,0.84,0.72,71.78,71.55,1.44,1.35,1.43,0.95,1.03,0.91,0.80,0.92,0.54,0.62,3.06,3.13,2.74,5.70,5.65,10.54,14.06,15.27,8.26,13.33,8.56,11.00,10.79,6.06,8.18,89.46,85.94,84.73,91.74,86.67,91.44,89.00,89.21,93.94,91.82,"74,073.54","82,114.21","34,533.64","18,073.85","16,629.61",6.14,8.25,4.94,2.85,2.68,22.45,30.77,19.13,13.74,14.24,5.93,8.00,4.66,2.57,2.27,89.45,85.93,84.72,91.73,86.66,7.73,10.45,5.18,3.47,3.59,5.93,8.00,4.66,2.57,2.27,0.03,0.02,0.03,0.06,0.04
TATA Consumer Products Ltd.,10.27,9.61,6.72,5.68,6.51,10.27,9.61,6.72,5.68,6.51,11.80,11.15,8.09,6.93,7.01,137.04,127.39,121.55,117.49,70.07,137.28,127.62,121.79,117.73,70.41,8.45,6.05,4.05,2.70,2.50,91.91,86.07,77.63,61.74,54.34,15.95,14.65,11.41,10.00,9.84,14.38,13.11,10.04,8.76,9.33,13.64,12.49,9.07,7.91,9.13,10.23,9.61,6.72,5.68,6.51,17.35,17.01,14.69,16.19,18.10,15.64,15.23,12.93,14.18,17.17,14.84,14.51,11.68,12.81,16.79,11.12,11.16,8.65,9.20,11.98,7.46,7.54,5.53,4.83,9.29,9.71,9.51,7.69,7.16,12.92,6.09,6.22,4.61,4.34,8.21,0.00,0.00,0.00,0.00,0.00,0.57,0.57,53.26,47.22,68.53,2.43,2.56,2.75,3.77,4.96,1.67,1.73,1.75,2.61,3.06,2.31,2.38,5.08,6.19,4.05,58.68,42.13,40.16,30.13,38.39,50.87,36.32,33.36,24.71,35.64,41.32,57.87,59.84,69.87,61.61,49.13,63.68,66.64,75.29,64.36,"64,755.37","70,302.75","57,230.47","26,466.00","12,352.38",7.58,8.86,8.00,4.65,3.60,43.70,52.08,54.42,28.71,19.90,7.73,9.03,8.22,4.77,3.74,41.31,57.86,59.83,69.86,61.60,5.18,6.10,5.25,2.51,2.90,7.73,9.03,8.22,4.77,3.74,0.01,0.01,0.01,0.02,0.03
Sona BLW Precision Forgings Ltd.,6.64,6.08,3.28,19.76,36.28,6.63,6.08,3.28,19.76,36.28,9.47,8.27,4.10,25.09,46.87,38.43,33.77,21.46,239.82,153.79,38.43,33.77,21.46,239.82,153.79,2.81,1.54,18.93,20.53,0.00,42.17,33.18,13.39,114.24,252.26,11.63,9.42,5.53,32.03,72.49,8.79,7.20,4.71,24.77,61.90,8.45,7.13,3.96,19.86,56.12,6.63,6.05,3.28,17.83,36.28,27.58,28.37,41.27,28.03,28.73,20.83,21.69,35.17,21.68,24.53,20.03,21.49,29.57,17.38,22.24,15.72,18.23,24.51,15.60,14.38,17.24,17.91,15.29,7.43,23.59,21.01,19.48,17.95,8.54,33.39,13.03,14.10,10.65,5.36,13.61,0.13,0.04,0.20,0.20,0.26,0.90,0.91,43.47,34.39,94.69,2.24,2.46,1.41,1.32,1.79,1.73,1.60,1.03,1.01,1.49,3.75,4.32,7.69,8.77,10.32,0.00,12.72,48.07,115.14,0.00,0.00,9.31,38.49,81.83,0.00,0.00,87.28,51.93,-15.14,0.00,0.00,90.69,61.51,18.17,0.00,"24,423.25","39,717.20",0.00,0.00,0.00,9.89,20.48,0.00,0.00,0.00,35.87,72.18,0.00,0.00,0.00,9.80,20.47,0.00,0.00,0.00,0.00,87.27,51.92,-15.14,0.00,10.75,20.11,0.00,0.00,0.00,9.80,20.47,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00
Sobha Ltd.,10.05,11.90,6.91,30.52,30.23,10.05,11.90,6.91,30.52,30.23,16.79,19.07,14.87,37.62,36.35,246.95,249.44,241.14,241.16,219.03,246.95,249.44,241.14,241.16,219.03,3.00,3.00,3.50,7.00,7.00,351.07,290.37,225.83,400.70,358.50,46.20,100.06,76.56,124.59,75.86,39.46,92.89,68.60,117.49,69.72,13.89,16.10,7.87,46.50,45.54,10.05,11.90,6.91,30.52,30.21,13.16,34.45,33.90,31.09,21.15,11.24,31.98,30.37,29.31,19.44,3.95,5.54,3.48,11.60,12.70,2.86,4.09,3.05,7.61,8.42,4.07,4.77,2.86,12.65,13.79,12.71,28.80,24.91,44.71,31.57,0.78,1.02,0.60,2.74,2.71,0.83,1.01,1.26,1.31,1.14,0.29,0.25,0.20,36.04,32.23,1.09,1.19,1.12,1.13,1.07,0.19,0.31,0.29,0.33,0.33,0.05,0.00,0.03,0.59,0.54,0.00,29.41,101.30,22.93,23.17,0.00,18.35,47.07,18.60,19.25,0.00,70.59,-1.30,77.07,76.83,0.00,81.65,52.93,81.40,80.75,"5,580.99","8,945.60","6,824.97","4,195.81","7,066.98",1.68,3.25,3.19,1.10,2.08,12.74,9.43,9.40,3.55,9.82,1.23,2.44,1.93,0.34,1.43,0.00,70.58,-1.30,77.06,76.82,1.74,2.84,1.81,0.56,2.34,1.23,2.44,1.93,0.34,1.43,0.02,0.02,0.02,0.23,0.06
Suven Pharmaceuticals Ltd.,16.99,21.92,12.12,21.22,8.59,16.99,21.92,12.12,21.22,8.59,18.68,23.46,13.37,23.09,9.49,68.72,59.74,41.84,61.50,46.38,68.72,59.74,41.84,61.50,46.38,6.00,5.00,2.00,5.00,1.50,52.25,51.86,39.66,65.51,29.68,24.65,30.16,17.86,31.68,13.53,22.97,28.62,16.62,29.81,12.62,22.76,28.38,16.26,28.09,12.40,16.99,21.92,12.12,21.22,8.59,47.18,58.15,45.03,48.36,45.56,43.96,55.19,41.90,45.50,42.52,43.56,54.72,40.99,42.88,41.78,32.52,42.27,30.56,32.39,28.92,24.72,36.70,28.97,34.50,18.51,32.41,45.65,37.14,41.66,25.68,22.09,30.92,22.71,24.31,13.95,0.04,0.06,0.13,0.24,0.14,0.71,0.83,0.82,75.05,48.25,6.19,5.31,2.57,1.95,2.47,4.17,3.95,1.65,1.08,1.48,1.42,1.90,1.65,4.77,2.41,0.00,18.24,8.24,23.56,17.47,0.00,17.05,7.48,21.65,15.80,0.00,81.76,91.76,76.44,82.53,0.00,82.95,92.52,78.35,84.20,"12,056.22","15,793.47","12,742.82","2,735.43",0.00,9.06,11.96,12.62,3.28,0.00,19.21,20.57,28.02,6.78,0.00,9.05,11.92,12.49,3.08,0.00,0.00,81.75,91.75,76.43,82.52,6.88,10.34,11.84,3.28,0.00,9.05,11.92,12.49,3.08,0.00,0.04,0.04,0.02,0.11,0.00
UCO Bank,1.56,0.80,0.17,-3.10,-11.16,1.56,0.80,0.17,-3.10,-11.16,1.74,0.92,0.30,-2.32,-7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,0.78,0.17,-2.46,-7.97,,,,,,,,,,,,,,,,10.55,6.20,1.15,-16.10,-30.15,,,,,,,,,,,0.61,0.34,0.06,-1.03,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
Shyam Metalics & Energy Ltd.,11.72,32.38,18.79,4.51,12.21,11.72,32.38,18.79,4.51,12.21,19.87,36.45,25.19,11.34,16.18,150.97,143.10,100.90,83.81,79.25,150.97,143.10,100.90,83.81,79.25,3.60,7.20,4.55,0.00,0.00,244.75,182.63,129.44,90.41,92.07,21.29,48.65,30.73,13.56,19.26,13.14,43.96,24.32,6.73,15.29,11.66,43.60,22.66,4.30,13.85,11.72,31.77,18.79,4.51,12.21,8.69,26.63,23.74,14.99,20.91,5.36,24.06,18.79,7.44,16.60,4.76,23.87,17.51,4.75,15.04,4.78,17.39,14.51,4.98,13.26,7.76,22.19,18.61,5.38,15.40,8.10,28.64,22.00,6.34,16.00,5.47,16.88,13.40,3.14,10.53,0.10,0.05,0.13,0.34,0.22,1.22,1.15,92.35,62.95,79.42,1.52,2.35,1.65,1.41,1.46,0.65,1.21,0.88,0.53,0.70,4.38,3.82,5.69,2.72,5.95,0.00,22.66,9.84,0.00,0.00,0.00,19.75,7.34,0.00,0.00,0.00,77.34,90.16,0.00,0.00,0.00,80.25,92.66,0.00,0.00,"7,064.47","9,259.24",0.00,0.00,0.00,1.13,1.99,0.00,0.00,0.00,13.01,7.46,0.00,0.00,0.00,1.08,1.98,0.00,0.00,0.00,0.00,77.33,90.15,0.00,0.00,1.75,2.53,0.00,0.00,0.00,1.08,1.98,0.00,0.00,0.00,0.04,0.09,0.00,0.00,0.00
Shriram Finance Ltd.,159.69,101.74,100.97,107.44,113.01,158.99,101.74,100.97,107.44,113.01,173.69,105.10,103.72,116.49,114.89,"1,156.60",958.61,852.30,793.60,697.94,"1,156.60",958.61,852.30,793.60,697.94,35.00,20.00,18.00,5.00,12.00,795.13,711.78,688.39,729.70,684.41,567.66,496.04,492.75,522.30,499.45,553.66,491.04,487.33,516.08,497.56,218.60,131.20,129.53,151.56,166.52,159.69,100.10,98.29,110.27,113.00,71.39,69.69,71.58,71.57,72.97,69.63,68.98,70.79,70.72,72.69,27.49,18.43,18.81,20.77,24.33,20.08,14.06,14.27,15.11,16.51,13.80,10.44,11.53,13.89,16.19,16.17,14.12,14.88,16.67,16.88,2.93,1.90,1.91,2.19,2.43,3.65,4.42,4.92,5.24,5.55,0.17,0.14,13.43,14.50,14.74,2.62,2.92,2.74,2.58,2.73,2.62,2.92,2.74,2.58,2.73,0.00,0.00,0.00,0.00,0.00,9.39,19.92,12.20,10.88,9.73,8.63,18.97,11.57,10.30,9.57,90.61,80.08,87.80,89.12,90.27,91.37,81.03,88.43,89.70,90.43,"189,261.44","128,848.28","125,737.19","102,098.97","112,826.38",6.36,6.69,7.22,6.17,7.27,8.90,9.60,10.08,8.62,9.96,1.58,1.59,2.07,0.91,1.86,90.60,80.07,87.79,89.11,90.26,1.09,1.18,1.67,0.84,1.82,1.58,1.59,2.07,0.91,1.86,0.13,0.09,0.07,0.17,0.09
SJVN Ltd.,3.47,2.49,4.16,3.96,3.47,3.47,2.49,4.16,3.96,3.47,4.46,3.52,5.16,4.94,4.46,35.17,33.41,32.47,30.62,28.60,35.17,33.41,32.47,30.62,28.60,1.77,1.70,2.20,2.20,2.15,7.47,6.16,6.34,6.89,6.76,6.58,4.92,6.42,6.17,5.82,5.58,3.89,5.42,5.19,4.83,4.38,3.31,5.52,4.99,4.56,3.47,2.49,4.16,3.96,3.47,88.04,79.78,101.31,89.55,86.14,74.74,63.09,85.53,75.36,71.45,58.65,53.65,87.06,72.36,67.49,46.44,40.36,65.56,57.52,51.37,9.86,7.44,12.79,12.94,12.13,10.42,8.14,13.76,13.70,13.49,5.89,4.70,9.68,9.87,9.14,0.52,0.42,0.15,0.16,0.17,0.13,0.13,14.77,17.16,17.79,2.70,2.46,2.37,4.71,5.50,2.67,2.43,2.33,4.65,5.44,0.00,0.00,44.36,54.71,59.15,0.00,62.31,43.31,42.89,43.20,0.00,44.08,34.90,34.40,33.59,0.00,37.69,56.69,57.11,56.80,0.00,55.92,65.10,65.60,66.41,"17,176.47","13,485.20","11,202.40","7,895.26","8,544.50",5.85,5.57,4.50,2.92,3.22,6.65,6.98,4.44,3.26,3.73,4.45,4.45,4.11,3.00,3.58,0.00,37.68,56.68,57.10,56.79,0.95,0.82,0.80,0.68,0.85,4.45,4.45,4.11,3.00,3.58,0.10,0.09,0.16,0.19,0.14
Siemens Ltd.,42.98,30.97,21.24,30.52,25.10,42.98,30.97,21.24,30.52,25.10,48.89,37.39,28.28,36.63,30.63,325.73,290.55,266.12,254.03,233.30,325.73,290.55,266.12,254.03,233.30,10.00,8.00,7.00,7.00,7.00,416.62,364.13,277.23,384.38,357.45,54.02,47.15,36.52,52.54,44.83,48.13,40.74,29.49,46.43,39.31,47.20,40.19,28.67,46.11,39.08,43.00,30.98,21.25,30.53,25.11,12.96,12.94,13.17,13.66,12.54,11.55,11.18,10.63,12.07,10.99,11.32,11.03,10.34,11.99,10.93,10.32,8.50,7.66,7.94,7.02,13.20,10.66,7.98,12.01,10.76,14.21,13.04,10.51,17.67,16.30,7.84,6.34,4.82,7.14,6.27,0.00,0.00,0.00,0.00,0.00,0.80,74.57,63.00,89.96,89.30,1.94,1.97,2.20,2.12,1.95,1.68,1.71,2.01,1.93,1.75,1.63,8.18,8.92,12.50,11.17,18.61,22.60,32.95,22.93,27.88,16.36,18.72,24.75,19.11,22.85,81.39,77.40,67.05,77.07,72.12,83.64,81.28,75.25,80.89,77.15,"92,337.48","70,894.48","39,475.18","49,035.58","29,868.14",6.23,5.47,4.00,3.58,2.35,48.01,42.24,30.36,26.22,18.71,6.65,5.84,4.56,3.94,2.63,81.38,77.39,67.04,77.06,72.11,8.50,7.32,4.75,5.96,4.04,6.65,5.84,4.56,3.94,2.63,0.02,0.01,0.02,0.02,0.03
Shoppers Stop Ltd.,10.88,-7.92,-29.24,-16.02,8.95,10.80,-7.92,-29.24,-16.02,8.95,45.67,24.22,10.01,33.89,24.30,21.15,8.97,16.61,15.53,111.11,21.15,8.97,16.61,15.53,111.11,0.00,0.00,0.00,0.00,0.75,364.61,227.70,157.72,384.20,395.65,68.84,39.59,24.88,66.24,30.82,34.04,7.45,-10.29,16.33,15.47,14.78,-12.67,-32.45,-8.03,14.06,10.87,-7.91,-25.16,-16.02,8.95,18.87,17.38,15.77,17.24,7.79,9.33,3.27,-6.52,4.25,3.91,4.05,-5.56,-20.57,-2.08,3.55,2.98,-3.47,-15.95,-4.16,2.26,51.41,-88.19,-151.49,-103.14,8.05,16.74,4.37,-5.71,6.55,13.92,2.59,-2.29,-7.82,-3.46,3.18,0.45,1.97,0.83,0.91,0.00,0.95,0.68,0.46,83.17,140.63,0.80,0.78,0.82,0.88,0.92,0.17,0.25,0.27,0.23,0.22,0.00,0.00,0.00,2.76,3.30,0.00,0.00,0.00,0.00,8.38,0.00,0.00,0.00,0.00,3.08,0.00,0.00,0.00,0.00,91.62,0.00,0.00,0.00,0.00,96.92,"7,180.81","5,268.71","2,460.14","1,824.81","4,130.24",1.80,2.11,1.43,0.54,1.19,9.51,12.15,9.04,3.13,15.23,1.78,2.05,1.36,0.50,1.19,0.00,0.00,0.00,0.00,91.61,30.62,51.96,12.94,12.46,4.24,1.78,2.05,1.36,0.50,1.19,0.02,-0.02,-0.12,-0.08,0.02
Shree Renuka Sugars Ltd.,-0.64,0.53,0.27,-2.88,-1.99,-0.64,0.53,0.27,-2.88,-1.99,0.44,1.48,1.21,-1.82,-0.88,1.94,2.57,1.01,-0.63,2.85,1.94,2.57,1.01,-0.63,2.85,0.00,0.00,0.00,0.00,0.00,40.31,28.78,26.04,23.83,22.42,3.04,2.10,2.98,0.26,2.22,1.97,1.15,2.04,-0.80,1.10,-0.58,0.57,1.01,-1.77,-2.07,-0.64,0.53,0.26,-2.88,-1.99,7.55,7.29,11.46,1.09,9.88,4.87,4.00,7.82,-3.34,4.91,-1.43,1.98,3.88,-7.43,-9.22,-1.58,1.84,1.00,-12.06,-8.88,-32.88,20.67,25.80,0.00,-69.88,11.35,7.02,15.29,-9.63,8.22,-1.81,1.59,0.79,-8.50,-5.54,10.43,7.55,17.11,-17.01,4.61,1.18,0.87,78.73,70.47,62.33,0.75,0.73,0.72,0.43,0.51,0.16,0.17,0.16,0.09,0.13,3.31,2.17,2.35,2.76,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,610.41","11,669.03","5,580.80","2,917.92","4,453.87",1.59,1.90,1.01,0.64,1.04,21.01,26.13,8.78,58.22,10.48,1.09,1.24,0.35,0.20,0.46,0.00,0.00,0.00,0.00,0.00,22.75,13.83,9.06,-7.61,3.58,1.09,1.24,0.35,0.20,0.46,-0.01,0.01,0.03,-0.60,-0.19
